 gene_ID gene_ID_1 gene_name gene_family
500 ENSMUSG00000067724 231044 Gbx1 Homeobox
501 ENSMUSG00000068048 104384 Rhox9 Homeobox
502 ENSMUSG00000068302 384452 Noto Homeobox
503 ENSMUSG00000068327 21909 Tlx2 Homeobox
504 ENSMUSG00000071757 387609 Zhx2 Homeobox
505 ENSMUSG00000071766 382282 Rhox12 Homeobox
506 ENSMUSG00000071767 547168 Rhox7 Homeobox
507 ENSMUSG00000071769 434758 Rhox3h Homeobox
508 ENSMUSG00000071770 194856 Rhox4e Homeobox
509 ENSMUSG00000071771 57737 Rhox4b Homeobox
510 ENSMUSG00000071772 100135657 Rhox3e Homeobox
511 ENSMUSG00000071773 385343 Rhox1 Homeobox
512 ENSMUSG00000072672 100039293 Gm10391 Homeobox
513 ENSMUSG00000072675 100039227 Gm10394 Homeobox
514 ENSMUSG00000074365 546024 Crxos1 Homeobox
515 ENSMUSG00000074366 252829 Obox5 Homeobox
516 ENSMUSG00000074369 246792 Obox2 Homeobox
517 ENSMUSG00000075045 245263 Gm4981 Homeobox
518 ENSMUSG00000075394 15423 Hoxc4 Homeobox
519 ENSMUSG00000075588 103889 Hoxb2 Homeobox
520 ENSMUSG00000079277 15434 Hoxd3 Homeobox
521 ENSMUSG00000079560 15400 Hoxa3 Homeobox
522 ENSMUSG00000079627 622301 Rhox2h Homeobox
523 ENSMUSG00000079628 664608 Rhox4g Homeobox
524 ENSMUSG00000079629 434766 Rhox2g Homeobox
525 ENSMUSG00000079630 636177 Rhox4f Homeobox
526 ENSMUSG00000095510 621852 Rhox3f Homeobox
527 ENSMUSG00000095741 434764 Rhox2f Homeobox
528 ENSMUSG00000079633 664610 Rhox4d Homeobox
529 ENSMUSG00000095698 434760 Rhox2d Homeobox
530 ENSMUSG00000079635 434759 Rhox4c Homeobox
531 ENSMUSG00000079636 100135654 Rhox3c Homeobox
532 ENSMUSG00000079637 100039948 Rhox2c Homeobox
533 ENSMUSG00000079638 100039913 Rhox2b Homeobox
534 ENSMUSG00000079639 664609 Rhox4a Homeobox
535 ENSMUSG00000029556 21405 Hnf1a Homeobox
536 ENSMUSG00000019878 15500 Hsf2 HSF
537 ENSMUSG00000022556 15499 Hsf1 HSF
538 ENSMUSG00000033249 26386 Hsf4 HSF
539 ENSMUSG00000045336 71066 Hsfy2 HSF
540 ENSMUSG00000070345 327992 Hsf5 HSF
541 ENSMUSG00000015882 209707 Lcorl HTH
542 ENSMUSG00000025019 212391 Lcor HTH
543 ENSMUSG00000002325 16391 Irf9 IRF
544 ENSMUSG00000003184 54131 Irf3 IRF
545 ENSMUSG00000018899 16362 Irf1 IRF
546 ENSMUSG00000021356 16364 Irf4 IRF
547 ENSMUSG00000025498 54123 Irf7 IRF
548 ENSMUSG00000026638 54139 Irf6 IRF
549 ENSMUSG00000029771 27056 Irf5 IRF
550 ENSMUSG00000031627 16363 Irf2 IRF
551 ENSMUSG00000041515 15900 Irf8 IRF
552 ENSMUSG00000024561 17190 Mbd1 MBD
553 ENSMUSG00000026987 407823 Baz2b MBD
554 ENSMUSG00000030322 17193 Mbd4 MBD
555 ENSMUSG00000031393 17257 Mecp2 MBD
556 ENSMUSG00000035478 17192 Mbd3 MBD
557 ENSMUSG00000071350 239122 Setdb2 MBD
558 ENSMUSG00000040054 116848 Baz2a MBD
559 ENSMUSG00000024513 17191 Mbd2 MBD
560 ENSMUSG00000015697 84505 Setdb1 MBD
561 ENSMUSG00000021540 17129 Smad5 MH1
562 ENSMUSG00000024515 17128 Smad4 MH1
563 ENSMUSG00000024563 17126 Smad2 MH1
564 ENSMUSG00000025880 17131 Smad7 MH1
565 ENSMUSG00000027796 55994 Smad9 MH1
566 ENSMUSG00000031681 17125 Smad1 MH1
567 ENSMUSG00000032402 17127 Smad3 MH1
568 ENSMUSG00000036867 17130 Smad6 MH1
569 ENSMUSG00000017861 17865 Mybl2 MYB
570 ENSMUSG00000018501 20185 Ncor1 MYB
571 ENSMUSG00000018651 217031 Tada2a MYB
572 ENSMUSG00000019982 17863 Myb MYB
573 ENSMUSG00000023932 71702 Cdc5l MYB
574 ENSMUSG00000024968 104383 Rcor2 MYB
575 ENSMUSG00000025912 17864 Mybl1 MYB
576 ENSMUSG00000025925 21749 Terf1 MYB
577 ENSMUSG00000026740 13418 Dnajc1 MYB
578 ENSMUSG00000026803 22130 Ttf1 MYB
579 ENSMUSG00000028522 71148 Mier1 MYB
580 ENSMUSG00000029014 22791 Dnajc2 MYB
581 ENSMUSG00000029196 231151 Tada2b MYB
582 ENSMUSG00000029478 20602 Ncor2 MYB
583 ENSMUSG00000031921 21750 Terf2 MYB
584 ENSMUSG00000032727 218613 Mier3 MYB
585 ENSMUSG00000036281 227644 Snapc4 MYB
586 ENSMUSG00000037395 214742 Rcor3 MYB
587 ENSMUSG00000037896 217864 Rcor1 MYB
588 ENSMUSG00000039068 108946 Zzz3 MYB
589 ENSMUSG00000042508 23857 Dmtf1 MYB
590 ENSMUSG00000052616 320022 Ccdc79 MYB
591 ENSMUSG00000062627 320713 Mysm1 MYB
592 ENSMUSG00000032481 20588 Smarcc1 MYB
593 ENSMUSG00000025369 68094 Smarcc2 MYB
594 ENSMUSG00000034057 237558 Gm239 NDT80/PhoG
595 ENSMUSG00000036098 225908 Gm98 NDT80/PhoG
596 ENSMUSG00000023994 18044 Nfya NF-YA
597 ENSMUSG00000020248 18045 Nfyb NF-YB/C
598 ENSMUSG00000032897 18046 Nfyc NF-YB/C
599 ENSMUSG00000058440 18181 Nrf1 Nrf1
600 ENSMUSG00000023034 15370 Nr4a1 Nuclear_orphan_receptor
601 ENSMUSG00000026826 18227 Nr4a2 Nuclear_orphan_receptor
602 ENSMUSG00000028341 18124 Nr4a3 Nuclear_orphan_receptor
603 ENSMUSG00000019768 13982 Esr1 Oestrogen_receptor
604 ENSMUSG00000025056 11614 Nr0b1 Other_nuclear_receptor
605 ENSMUSG00000037583 23957 Nr0b2 Other_nuclear_receptor
606 ENSMUSG00000022838 106389 Eaf2 Others
607 ENSMUSG00000045302 50907 Preb Others
608 ENSMUSG00000046957 79401 Spz1 Others
609 ENSMUSG00000022510 22061 Trp63 P53
610 ENSMUSG00000029026 22062 Trp73 P53
611 ENSMUSG00000059552 22059 Trp53 P53
612 ENSMUSG00000001497 18511 Pax9 PAX
613 ENSMUSG00000004231 18504 Pax2 PAX
614 ENSMUSG00000004872 18505 Pax3 PAX
615 ENSMUSG00000014030 18507 Pax5 PAX
616 ENSMUSG00000026976 18510 Pax8 PAX
617 ENSMUSG00000027168 18508 Pax6 PAX
618 ENSMUSG00000028736 18509 Pax7 PAX
619 ENSMUSG00000029706 18506 Pax4 PAX
620 ENSMUSG00000037034 18503 Pax1 PAX
621 ENSMUSG00000022205 20024 Sub1 PC4
622 ENSMUSG00000004842 18736 Pou1f1 POU
623 ENSMUSG00000008496 18987 Pou2f2 POU
624 ENSMUSG00000009734 218030 Pou6f2 POU
625 ENSMUSG00000024406 18999 Pou5f1 POU
626 ENSMUSG00000024497 18998 Pou4f3 POU
627 ENSMUSG00000026565 18986 Pou2f1 POU
628 ENSMUSG00000031688 18997 Pou4f2 POU
629 ENSMUSG00000032015 18988 Pou2f3 POU
630 ENSMUSG00000045515 18993 Pou3f3 POU
631 ENSMUSG00000048349 18996 Pou4f1 POU
632 ENSMUSG00000095139 18992 Pou3f2 POU
633 ENSMUSG00000056854 18994 Pou3f4 POU
634 ENSMUSG00000090125 18991 Pou3f1 POU
635 ENSMUSG00000000440 19016 Pparg PPAR_receptor
636 ENSMUSG00000002250 19015 Ppard PPAR_receptor
637 ENSMUSG00000022383 19013 Ppara PPAR_receptor
638 ENSMUSG00000031870 18667 Pgr Progesterone_receptor
639 ENSMUSG00000010175 19130 Prox1 Prox1
640 ENSMUSG00000042320 73422 Prox2 Prox1
641 ENSMUSG00000005893 22026 Nr2c2 Retinoic_acid_receptor
642 ENSMUSG00000005897 22025 Nr2c1 Retinoic_acid_receptor
643 ENSMUSG00000019803 21907 Nr2e1 Retinoic_acid_receptor
644 ENSMUSG00000024955 26379 Esrra Retinoic_acid_receptor
645 ENSMUSG00000026398 26424 Nr5a2 Retinoic_acid_receptor
646 ENSMUSG00000026751 26423 Nr5a1 Retinoic_acid_receptor
647 ENSMUSG00000063972 14536 Nr6a1 Retinoic_acid_receptor
648 ENSMUSG00000005774 53970 Rfx5 RFX
649 ENSMUSG00000019900 320995 Rfx6 RFX
650 ENSMUSG00000020037 71137 Rfx4 RFX
651 ENSMUSG00000024206 19725 Rfx2 RFX
652 ENSMUSG00000031706 19724 Rfx1 RFX
653 ENSMUSG00000037674 319758 Rfx7 RFX
654 ENSMUSG00000040929 19726 Rfx3 RFX
655 ENSMUSG00000057173 619289 Rfx8 RFX
656 ENSMUSG00000002983 19698 Relb RHD
657 ENSMUSG00000003847 54446 Nfat5 RHD
658 ENSMUSG00000020275 19696 Rel RHD
659 ENSMUSG00000023411 73181 Nfatc4 RHD
660 ENSMUSG00000024927 19697 Rela RHD
661 ENSMUSG00000025225 18034 Nfkb2 RHD
662 ENSMUSG00000027544 18019 Nfatc2 RHD
663 ENSMUSG00000028163 18033 Nfkb1 RHD
664 ENSMUSG00000031902 18021 Nfatc3 RHD
665 ENSMUSG00000033016 18018 Nfatc1 RHD
666 ENSMUSG00000032238 19883 Rora ROR_receptor
667 ENSMUSG00000036192 225998 Rorb ROR_receptor
668 ENSMUSG00000022952 12394 Runx1 Runt
669 ENSMUSG00000039153 12393 Runx2 Runt
670 ENSMUSG00000070691 12399 Runx3 Runt
671 ENSMUSG00000000731 11634 Aire SAND
672 ENSMUSG00000026222 20684 Sp100 SAND
673 ENSMUSG00000028901 56809 Gmeb1 SAND
674 ENSMUSG00000038705 229004 Gmeb2 SAND
675 ENSMUSG00000058886 54006 Deaf1 SAND
676 ENSMUSG00000070031 434484 Sp140 SAND
677 ENSMUSG00000070034 109032 Sp110 SAND
678 ENSMUSG00000001419 17261 Mef2d SRF
679 ENSMUSG00000005583 17260 Mef2c SRF
680 ENSMUSG00000015605 20807 Srf SRF
681 ENSMUSG00000030557 17258 Mef2a SRF
682 ENSMUSG00000079033 17259 Mef2b SRF
683 ENSMUSG00000002147 20852 Stat6 STAT
684 ENSMUSG00000004040 20848 Stat3 STAT
685 ENSMUSG00000004043 20850 Stat5a STAT
686 ENSMUSG00000020919 20851 Stat5b STAT
687 ENSMUSG00000026104 20846 Stat1 STAT
688 ENSMUSG00000040033 20847 Stat2 STAT
689 ENSMUSG00000062939 20849 Stat4 STAT
690 ENSMUSG00000000093 21385 Tbx2 T-box
691 ENSMUSG00000000094 21387 Tbx4 T-box
692 ENSMUSG00000001444 57765 Tbx21 T-box
693 ENSMUSG00000009097 21380 Tbx1 T-box
694 ENSMUSG00000018263 21388 Tbx5 T-box
695 ENSMUSG00000018604 21386 Tbx3 T-box
696 ENSMUSG00000026572 83993 Tbx19 T-box
697 ENSMUSG00000027868 21384 Tbx15 T-box
698 ENSMUSG00000030699 21389 Tbx6 T-box
699 ENSMUSG00000031241 245572 Tbx22 T-box
700 ENSMUSG00000031965 57246 Tbx20 T-box
701 ENSMUSG00000032419 76365 Tbx18 T-box
702 ENSMUSG00000032446 13813 Eomes T-box
703 ENSMUSG00000033943 29808 Mga T-box
704 ENSMUSG00000035033 21375 Tbr1 T-box
705 ENSMUSG00000037477 109575 Tbx10 T-box
706 ENSMUSG00000062327 20997 T T-box
707 ENSMUSG00000002249 21678 Tead3 TEA
708 ENSMUSG00000030353 21679 Tead4 TEA
709 ENSMUSG00000030796 21677 Tead2 TEA
710 ENSMUSG00000055320 21676 Tead1 TEA
711 ENSMUSG00000032652 232430 Crebl2 TF_bZIP
712 ENSMUSG00000003545 14282 Fosb TF_bZIP
713 ENSMUSG00000015461 12915 Atf6b TF_bZIP
714 ENSMUSG00000015839 18024 Nfe2l2 TF_bZIP
715 ENSMUSG00000018143 17135 Mafk TF_bZIP
716 ENSMUSG00000021250 14281 Fos TF_bZIP
717 ENSMUSG00000022389 21685 Tef TF_bZIP
718 ENSMUSG00000023027 11908 Atf1 TF_bZIP
719 ENSMUSG00000024912 14283 Fosl1 TF_bZIP
720 ENSMUSG00000025612 12013 Bach1 TF_bZIP
721 ENSMUSG00000025958 12912 Creb1 TF_bZIP
722 ENSMUSG00000026628 11910 Atf3 TF_bZIP
723 ENSMUSG00000026630 381319 Batf3 TF_bZIP
724 ENSMUSG00000026663 226641 Atf6 TF_bZIP
725 ENSMUSG00000027104 11909 Atf2 TF_bZIP
726 ENSMUSG00000027230 26427 Creb3l1 TF_bZIP
727 ENSMUSG00000027938 78284 Creb3l4 TF_bZIP
728 ENSMUSG00000028466 12913 Creb3 TF_bZIP
729 ENSMUSG00000029135 14284 Fosl2 TF_bZIP
730 ENSMUSG00000029832 18025 Nfe2l3 TF_bZIP
731 ENSMUSG00000034266 53314 Batf TF_bZIP
732 ENSMUSG00000034271 81703 Jdp2 TF_bZIP
733 ENSMUSG00000035041 208677 Creb3l3 TF_bZIP
734 ENSMUSG00000038539 107503 Atf5 TF_bZIP
735 ENSMUSG00000038615 18023 Nfe2l1 TF_bZIP
736 ENSMUSG00000038648 208647 Creb3l2 TF_bZIP
737 ENSMUSG00000039699 74481 Batf2 TF_bZIP
738 ENSMUSG00000040270 12014 Bach2 TF_bZIP
739 ENSMUSG00000040632 18185 Nrl TF_bZIP
740 ENSMUSG00000042406 11911 Atf4 TF_bZIP
741 ENSMUSG00000042622 17133 Maff TF_bZIP
742 ENSMUSG00000047591 378435 Mafa TF_bZIP
743 ENSMUSG00000051451 233490 Crebzf TF_bZIP
744 ENSMUSG00000051510 17134 Mafg TF_bZIP
745 ENSMUSG00000052684 16476 Jun TF_bZIP
746 ENSMUSG00000052837 16477 Junb TF_bZIP
747 ENSMUSG00000055435 17132 Maf TF_bZIP
748 ENSMUSG00000056749 18030 Nfil3 TF_bZIP
749 ENSMUSG00000058794 18022 Nfe2 TF_bZIP
750 ENSMUSG00000059824 13170 Dbp TF_bZIP
751 ENSMUSG00000063889 12916 Crem TF_bZIP
752 ENSMUSG00000071076 16478 Jund TF_bZIP
753 ENSMUSG00000074622 16658 Mafb TF_bZIP
754 ENSMUSG00000005917 18423 Otx1 TF_Otx
755 ENSMUSG00000021848 18424 Otx2 TF_Otx
756 ENSMUSG00000020137 66816 Thap2 THAP
757 ENSMUSG00000022760 69009 Thap7 THAP
758 ENSMUSG00000026279 67026 Thap4 THAP
759 ENSMUSG00000030753 72981 Prkrir THAP
760 ENSMUSG00000036442 59016 Thap11 THAP
761 ENSMUSG00000037214 73754 Thap1 THAP
762 ENSMUSG00000039759 69876 Thap3 THAP
763 ENSMUSG00000001288 19411 Rarg Thyroid_hormone_receptor
764 ENSMUSG00000005677 12355 Nr1i3 Thyroid_hormone_receptor
765 ENSMUSG00000015843 20183 Rxrg Thyroid_hormone_receptor
766 ENSMUSG00000015846 20181 Rxra Thyroid_hormone_receptor
767 ENSMUSG00000017491 218772 Rarb Thyroid_hormone_receptor
768 ENSMUSG00000017688 30942 Hnf4g Thyroid_hormone_receptor
769 ENSMUSG00000017950 15378 Hnf4a Thyroid_hormone_receptor
770 ENSMUSG00000020889 217166 Nr1d1 Thyroid_hormone_receptor
771 ENSMUSG00000021055 13983 Esr2 Thyroid_hormone_receptor
772 ENSMUSG00000021255 26380 Esrrb Thyroid_hormone_receptor
773 ENSMUSG00000021775 353187 Nr1d2 Thyroid_hormone_receptor
774 ENSMUSG00000021779 21834 Thrb Thyroid_hormone_receptor
775 ENSMUSG00000022479 22337 Vdr Thyroid_hormone_receptor
776 ENSMUSG00000022809 18171 Nr1i2 Thyroid_hormone_receptor
777 ENSMUSG00000026610 26381 Esrrg Thyroid_hormone_receptor
778 ENSMUSG00000028150 19885 Rorc Thyroid_hormone_receptor
779 ENSMUSG00000031618 110784 Nr3c2 Thyroid_hormone_receptor
780 ENSMUSG00000032292 23958 Nr2e3 Thyroid_hormone_receptor
781 ENSMUSG00000037992 19401 Rara Thyroid_hormone_receptor
782 ENSMUSG00000039656 20182 Rxrb Thyroid_hormone_receptor
783 ENSMUSG00000047638 20186 Nr1h4 Thyroid_hormone_receptor
784 ENSMUSG00000048938 381463 Nr1h5 Thyroid_hormone_receptor
785 ENSMUSG00000058756 21833 Thra Thyroid_hormone_receptor
786 ENSMUSG00000022010 21807 Tsc22d1 TSC22
787 ENSMUSG00000027806 72033 Tsc22d2 TSC22
788 ENSMUSG00000029723 78829 Tsc22d4 TSC22
789 ENSMUSG00000031431 14605 Tsc22d3 TSC22
790 ENSMUSG00000001521 22158 Tulp3 Tub
791 ENSMUSG00000023467 56734 Tulp2 Tub
792 ENSMUSG00000031028 22141 Tub Tub
793 ENSMUSG00000034377 68842 Tulp4 Tub
794 ENSMUSG00000037446 22157 Tulp1 Tub
795 ENSMUSG00000048047 56805 Zbtb33 ZBTB
796 ENSMUSG00000000317 12029 Bcl6b ZBTB
797 ENSMUSG00000006215 22642 Zbtb17 ZBTB
798 ENSMUSG00000006310 58206 Zbtb32 ZBTB
799 ENSMUSG00000013419 270210 Zfp651 ZBTB
800 ENSMUSG00000018750 75580 Zbtb4 ZBTB
801 ENSMUSG00000019826 268294 Zbtb24 ZBTB
802 ENSMUSG00000020453 56218 Patz1 ZBTB
803 ENSMUSG00000022508 12053 Bcl6 ZBTB
804 ENSMUSG00000022708 56490 Zbtb20 ZBTB
805 ENSMUSG00000026788 71834 Zbtb43 ZBTB
806 ENSMUSG00000027439 74533 Gzf1 ZBTB
807 ENSMUSG00000027583 72147 Zbtb46 ZBTB
808 ENSMUSG00000028042 22724 Zbtb7b ZBTB
809 ENSMUSG00000028807 73680 Zbtb8a ZBTB
810 ENSMUSG00000028952 100090 Zbtb48 ZBTB
811 ENSMUSG00000029127 75079 Zbtb49 ZBTB
812 ENSMUSG00000033454 268564 Zbtb1 ZBTB
813 ENSMUSG00000033964 226470 Zbtb41 ZBTB
814 ENSMUSG00000035011 16969 Zbtb7a ZBTB
815 ENSMUSG00000037730 80732 Mynn ZBTB
816 ENSMUSG00000040433 245007 Zbtb38 ZBTB
817 ENSMUSG00000043099 15248 Hic1 ZBTB
818 ENSMUSG00000043467 240869 Zbtb37 ZBTB
819 ENSMUSG00000044617 320080 Zbtb39 ZBTB
820 ENSMUSG00000044646 207259 Zbtb7c ZBTB
821 ENSMUSG00000046962 114565 Zfp295 ZBTB
822 ENSMUSG00000047412 235132 Zbtb44 ZBTB
823 ENSMUSG00000048485 215627 Zbtb8b ZBTB
824 ENSMUSG00000049600 232879 Zbtb45 ZBTB
825 ENSMUSG00000049672 22666 Zfp161 ZBTB
826 ENSMUSG00000049823 193736 Zbtb12 ZBTB
827 ENSMUSG00000050240 58180 Hic2 ZBTB
828 ENSMUSG00000050714 320633 Zbtb26 ZBTB
829 ENSMUSG00000060862 230848 Zbtb40 ZBTB
830 ENSMUSG00000063659 30928 Zfp238 ZBTB
831 ENSMUSG00000066687 235320 Zbtb16 ZBTB
832 ENSMUSG00000066798 241322 Zbtb6 ZBTB
833 ENSMUSG00000068966 241311 Zbtb34 ZBTB
834 ENSMUSG00000069114 229055 Zbtb10 ZBTB
835 ENSMUSG00000071661 75291 Zbtb3 ZBTB
836 ENSMUSG00000075327 381990 Zbtb2 ZBTB
837 ENSMUSG00000034333 223773 Zbed4 zf-BED
838 ENSMUSG00000053080 108899 2700081O15Rik zf-BED
839 ENSMUSG00000021271 72805 Zfp839 zf-C2H2
840 ENSMUSG00000022009 27275 Nufip1 zf-C2H2
841 ENSMUSG00000024826 19708 Dpf2 zf-C2H2
842 ENSMUSG00000030584 29861 Dpf1 zf-C2H2
843 ENSMUSG00000031728 75871 Zfp821 zf-C2H2
844 ENSMUSG00000000078 23849 Klf6 zf-C2H2
845 ENSMUSG00000000103 22768 Zfy2 zf-C2H2
846 ENSMUSG00000000823 269401 Znf512b zf-C2H2
847 ENSMUSG00000000861 14025 Bcl11a zf-C2H2
848 ENSMUSG00000001065 57247 Zfp276 zf-C2H2
849 ENSMUSG00000001280 20683 Sp1 zf-C2H2
850 ENSMUSG00000002265 18616 Peg3 zf-C2H2
851 ENSMUSG00000002266 22776 Zim1 zf-C2H2
852 ENSMUSG00000002578 22781 Ikzf4 zf-C2H2
853 ENSMUSG00000002617 22700 Zfp40 zf-C2H2
854 ENSMUSG00000003032 16600 Klf4 zf-C2H2
855 ENSMUSG00000003198 224893 Zfp959 zf-C2H2
856 ENSMUSG00000003282 56711 Plag1 zf-C2H2
857 ENSMUSG00000003929 224694 Zfp81 zf-C2H2
858 ENSMUSG00000004500 243834 Zfp324 zf-C2H2
859 ENSMUSG00000005148 12224 Klf5 zf-C2H2
860 ENSMUSG00000005267 170740 Zfp287 zf-C2H2
861 ENSMUSG00000005621 233410 Zfp592 zf-C2H2
862 ENSMUSG00000005698 13018 Ctcf zf-C2H2
863 ENSMUSG00000006587 30927 Snai3 zf-C2H2
864 ENSMUSG00000006720 193452 Zfp184 zf-C2H2
865 ENSMUSG00000007216 243372 Zfp775 zf-C2H2
866 ENSMUSG00000007812 72611 Zfp655 zf-C2H2
867 ENSMUSG00000094441 77652 Zfp955a zf-C2H2
868 ENSMUSG00000011267 63872 Zfp296 zf-C2H2
869 ENSMUSG00000011427 233056 Zfp790 zf-C2H2
870 ENSMUSG00000012640 69930 Zfp715 zf-C2H2
871 ENSMUSG00000014039 114604 Prdm15 zf-C2H2
872 ENSMUSG00000014303 83396 Glis2 zf-C2H2
873 ENSMUSG00000015501 15273 Hivep2 zf-C2H2
874 ENSMUSG00000016458 22431 Wt1 zf-C2H2
875 ENSMUSG00000016503 66596 Gtf3a zf-C2H2
876 ENSMUSG00000017667 228876 Zfp334 zf-C2H2
877 ENSMUSG00000018168 22780 Ikzf3 zf-C2H2
878 ENSMUSG00000018347 52712 Zkscan6 zf-C2H2
879 ENSMUSG00000018377 22344 Vezf1 zf-C2H2
880 ENSMUSG00000018654 22778 Ikzf1 zf-C2H2
881 ENSMUSG00000018678 78912 Sp2 zf-C2H2
882 ENSMUSG00000019338 78266 Zfp687 zf-C2H2
883 ENSMUSG00000019817 22634 Plagl1 zf-C2H2
884 ENSMUSG00000020335 27274 Zfp354b zf-C2H2
885 ENSMUSG00000020364 21408 Zfp354a zf-C2H2
886 ENSMUSG00000020420 545938 Zfp607 zf-C2H2
887 ENSMUSG00000020472 268417 Zkscan17 zf-C2H2
888 ENSMUSG00000020491 69944 2810021J22Rik zf-C2H2
889 ENSMUSG00000020653 194655 Klf11 zf-C2H2
890 ENSMUSG00000021217 243931 Tshz3 zf-C2H2
891 ENSMUSG00000021318 14634 Gli3 zf-C2H2
892 ENSMUSG00000021327 72739 Zkscan3 zf-C2H2
893 ENSMUSG00000021366 110521 Hivep1 zf-C2H2
894 ENSMUSG00000021510 212281 A530054K11Rik zf-C2H2
895 ENSMUSG00000021514 170936 Zfp369 zf-C2H2
896 ENSMUSG00000021743 54713 Fezf2 zf-C2H2
897 ENSMUSG00000022228 432731 Zfp187 zf-C2H2
898 ENSMUSG00000022306 22762 Zfpm2 zf-C2H2
899 ENSMUSG00000022330 107587 Osr2 zf-C2H2
900 ENSMUSG00000022335 380993 Zfat zf-C2H2
901 ENSMUSG00000022526 71591 Zfp251 zf-C2H2
902 ENSMUSG00000022529 74120 Zfp263 zf-C2H2
903 ENSMUSG00000022676 20583 Snai2 zf-C2H2
904 ENSMUSG00000022811 22661 Zfp148 zf-C2H2
905 ENSMUSG00000022987 239652 Zfp641 zf-C2H2
906 ENSMUSG00000023284 675812 Zfp605 zf-C2H2
907 ENSMUSG00000023882 22712 Zfp54 zf-C2H2
908 ENSMUSG00000023892 22709 Zfp51 zf-C2H2
909 ENSMUSG00000023902 332221 Zscan10 zf-C2H2
910 ENSMUSG00000024050 22404 Wiz zf-C2H2
911 ENSMUSG00000024137 13560 E4f1 zf-C2H2
912 ENSMUSG00000024220 224656 Zfp523 zf-C2H2
913 ENSMUSG00000024238 21417 Zeb1 zf-C2H2
914 ENSMUSG00000024274 328918 Zscan30 zf-C2H2
915 ENSMUSG00000024276 69256 Zfp397 zf-C2H2
916 ENSMUSG00000024298 208292 Zfp871 zf-C2H2
917 ENSMUSG00000024420 225207 Zfp521 zf-C2H2
918 ENSMUSG00000024565 20689 Sall3 zf-C2H2
919 ENSMUSG00000024695 109910 Zfp91 zf-C2H2
920 ENSMUSG00000024922 18426 Ovol1 zf-C2H2
921 ENSMUSG00000025323 20688 Sp4 zf-C2H2
922 ENSMUSG00000025407 14632 Gli1 zf-C2H2
923 ENSMUSG00000025529 245595 Zfp711 zf-C2H2
924 ENSMUSG00000025602 80902 Zfp202 zf-C2H2
925 ENSMUSG00000025821 101095 Zfp282 zf-C2H2
926 ENSMUSG00000025959 93691 Klf7 zf-C2H2
927 ENSMUSG00000025997 22779 Ikzf2 zf-C2H2
928 ENSMUSG00000026135 77264 Zfp142 zf-C2H2
929 ENSMUSG00000026815 14582 Gfi1b zf-C2H2
930 ENSMUSG00000026872 24136 Zeb2 zf-C2H2
931 ENSMUSG00000027109 20687 Sp3 zf-C2H2
932 ENSMUSG00000027547 99377 Sall4 zf-C2H2
933 ENSMUSG00000027551 22722 Zfp64 zf-C2H2
934 ENSMUSG00000027684 14013 Mecom zf-C2H2
935 ENSMUSG00000028358 72701 Zfp618 zf-C2H2
936 ENSMUSG00000028389 22696 Zfp37 zf-C2H2
937 ENSMUSG00000028487 242509 Bnc2 zf-C2H2
938 ENSMUSG00000028634 16656 Hivep3 zf-C2H2
939 ENSMUSG00000028799 230761 Zfp362 zf-C2H2
940 ENSMUSG00000028890 17764 Mtf1 zf-C2H2
941 ENSMUSG00000029178 16599 Klf3 zf-C2H2
942 ENSMUSG00000029249 19712 Rest zf-C2H2
943 ENSMUSG00000029587 231866 Zfp12 zf-C2H2
944 ENSMUSG00000029627 67235 Zkscan14 zf-C2H2
945 ENSMUSG00000029697 73191 Fezf1 zf-C2H2
946 ENSMUSG00000029729 74570 Zkscan1 zf-C2H2
947 ENSMUSG00000029913 70779 Prdm5 zf-C2H2
948 ENSMUSG00000030087 66277 Klf15 zf-C2H2
949 ENSMUSG00000030145 72720 Zfp248 zf-C2H2
950 ENSMUSG00000030380 109889 Mzf1 zf-C2H2
951 ENSMUSG00000030386 67370 Zfp606 zf-C2H2
952 ENSMUSG00000030393 22775 Zik1 zf-C2H2
953 ENSMUSG00000030443 213011 Zfp583 zf-C2H2
954 ENSMUSG00000030446 212569 Zfp273 zf-C2H2
955 ENSMUSG00000030469 210105 Zfp719 zf-C2H2
956 ENSMUSG00000030678 17188 Maz zf-C2H2
957 ENSMUSG00000030757 210162 Zkscan2 zf-C2H2
958 ENSMUSG00000030823 78921 9130019O22Rik zf-C2H2
959 ENSMUSG00000031079 245368 Zfp300 zf-C2H2
960 ENSMUSG00000031365 27081 Zfp275 zf-C2H2
961 ENSMUSG00000031374 22754 Zfp92 zf-C2H2
962 ENSMUSG00000031665 58198 Sall1 zf-C2H2
963 ENSMUSG00000031907 22751 Zfp90 zf-C2H2
964 ENSMUSG00000032119 102423 Hinfp zf-C2H2
965 ENSMUSG00000032368 22771 Zic1 zf-C2H2
966 ENSMUSG00000032425 71640 Zfp949 zf-C2H2
967 ENSMUSG00000033669 223669 Zfp7 zf-C2H2
968 ENSMUSG00000033730 13655 Egr3 zf-C2H2
969 ENSMUSG00000033863 16601 Klf9 zf-C2H2
970 ENSMUSG00000033961 269870 Zfp446 zf-C2H2
971 ENSMUSG00000033972 319615 Zfp944 zf-C2H2
972 ENSMUSG00000034071 619331 Zfp551 zf-C2H2
973 ENSMUSG00000034429 69020 Zfp707 zf-C2H2
974 ENSMUSG00000034430 80292 Zxdc zf-C2H2
